City, Time, Temperature, condition
London, 2023-10-24 21:00:00, 10.7, Clouds
London, 2023-10-25 00:00:00, 10.84, Clouds
London, 2023-10-25 03:00:00, 11.03, Rain
London, 2023-10-25 06:00:00, 11.01, Rain
London, 2023-10-25 09:00:00, 11.35, Clouds
London, 2023-10-25 12:00:00, 12.77, Clouds
London, 2023-10-25 15:00:00, 13.07, Clouds
London, 2023-10-25 18:00:00, 11.65, Clouds
London, 2023-10-25 21:00:00, 10.94, Clouds
London, 2023-10-26 00:00:00, 10.45, Clouds
London, 2023-10-26 03:00:00, 9.67, Clouds
London, 2023-10-26 06:00:00, 10.56, Clouds
London, 2023-10-26 09:00:00, 11.55, Rain
London, 2023-10-26 12:00:00, 11.82, Rain
London, 2023-10-26 15:00:00, 11.12, Rain
London, 2023-10-26 18:00:00, 10.22, Rain
London, 2023-10-26 21:00:00, 9.66, Rain
London, 2023-10-27 00:00:00, 9.26, Clouds
London, 2023-10-27 03:00:00, 9.19, Rain
London, 2023-10-27 06:00:00, 9.46, Clouds
London, 2023-10-27 09:00:00, 10.41, Rain
London, 2023-10-27 12:00:00, 13.25, Clouds
London, 2023-10-27 15:00:00, 13.45, Rain
London, 2023-10-27 18:00:00, 10.87, Rain
London, 2023-10-27 21:00:00, 10.28, Clouds
London, 2023-10-28 00:00:00, 9.95, Rain
London, 2023-10-28 03:00:00, 10.13, Rain
London, 2023-10-28 06:00:00, 9.89, Rain
London, 2023-10-28 09:00:00, 12.02, Rain
London, 2023-10-28 12:00:00, 13.4, Rain
London, 2023-10-28 15:00:00, 13.5, Rain
London, 2023-10-28 18:00:00, 11.7, Clouds
London, 2023-10-28 21:00:00, 11.43, Rain
London, 2023-10-29 00:00:00, 12.15, Rain
London, 2023-10-29 03:00:00, 12.1, Rain
London, 2023-10-29 06:00:00, 9.84, Clouds
London, 2023-10-29 09:00:00, 10.56, Clouds
London, 2023-10-29 12:00:00, 13.18, Clouds
London, 2023-10-29 15:00:00, 13.06, Clear
London, 2023-10-29 18:00:00, 11.21, Clouds
